name,alternative_names,tea_type,cultivars,processing,oxidation_level,cultural_significance,cultural_significance_source,country_of_origin,subregions,avg_price_per_oz_usd,liquor_appearance,liquor_aroma,liquor_taste,liquor_body_mouthfeel,body_effect,dry_leaf_appearance,dry_leaf_aroma,wet_leaf_appearance,wet_leaf_aroma
Jin Xuan,Milk Oolong; Golden Lily,oolong,Taiwan cultivar 12,,,Taiwanese Tea Research and Extension released this in the 1980s.,Mei Leaf,Taiwan,"Alishan, Chiayi",,pale yellow,cream; bright; green; sweet,milky; creamy; buttery; bright; green,thick,mouth-watering,tightly-rolled; gray-green,cream; sweet; green,large; gray-green,cream; sweet; green; fresh
Anji Bai Cha,Anji White Tea,green,Bai Ye,,,,,China,"Zhejiang, Anji",,summer haze yellow; clear; particulates,green beans; zucchini; honeydew melon rind; effervescent,vegetal; zucchini; honeydew melon rind,medium; smooth,calming,light yellow-green; buds; bud-leaf pairs; small-to-medium; straight; red-brown highlights,light; fresh; peppery; white tea,plump; light yellow-green; red-brown highlights,skunk cabbage; vegetal; white tea; green beans; effervescent
